"1","Michelle Long \’17","michelle-long-17"
"2","Tyler Richard ’14","tyler-richard-14"
"3","Anna Hagen ’15","anna-hagen-15"
"4","Jacob Moscona-Skolnik \’16","jacob-moscona-skolnik-16"
"5","Reina Gattuso, ’15","reina-gattuso-15"
"6","Patrick Lauppe \’13","patrick-lauppe-13"
"7","Olivia Munk ’16 ","olivia-munk-16"
"8","Oliver Luo '13","oliver-luo-13"
"9","Indiana Seresin ’15","indiana-seresin-15"
"10","Alexander Traub ’13","alexander-traub-13"
"11","Liza Batkin \’15","liza-batkin-15"
"12","Moeko Fujii \’15","moeko-fujii-15"
"13","Hana Bajramovic ’13","hana-bajramovic-13"
"14","Camille Coppola ’14.","camille-coppola-14"
"15","Kiara Barrow \’16","kiara-barrow-16"
"16","Anne Marie Creighton ’14","anne-marie-creighton-14"
"17","Roxanna Haghighat ’15
With thanks to Leslie Dunton-Downer, a trustee of The Harvard Advocate, for reviewing the translation.
","roxanna-haghighat-15-with-thanks-to-leslie-dunton-downer-a-trustee-of-the-harvard-advocate-for-reviewing-the-translation"
"18","Victoria Baena ’14","victoria-baena-14"
"19","Robbie Eginton ’16","robbie-eginton-16"
"20","Reina Gattuso ’15","reina-gattuso-15"
"21","Julian Lucas \’15","julian-lucas-15"
"22","Alexander Traub \’13","alexander-traub-13"
"23","Harry Choi \’16","harry-choi-16"
"24","atrick Lauppe ’13","atrick-lauppe-13"
"25","My Ngoc To ’14","my-ngoc-to-14"
"26","Sarah Hopkinson \’13","sarah-hopkinson-13"
"27","Sarah Hopkinson ’13","sarah-hopkinson-13"
"28","Isaac Dayno \’15","isaac-dayno-15"
"29","Liza Batkin ’15","liza-batkin-15"
"30","Advocate Staff","advocate-staff"
"31","Ezra Stoller ’15","ezra-stoller-15"
"32","Indiana Seresin \’15","indiana-seresin-15"
"33","Sarah Rosenthal ’15","sarah-rosenthal-15"
"34","Kayla Escobedo ’13","kayla-escobedo-13"
"35","Zoë Hitzig ’15","zoe-hitzig-15"
"36","Matt Krane ’15","matt-krane-15"
"37","Julian Lucas, ’15","julian-lucas-15"
"38","Alexander Wells \’13, President Emeritus","alexander-wells-13-president-emeritus"
"39","Yen Pham, ’15 ","yen-pham-15"
"40","Kayla Escobedo \’13","kayla-escobedo-13"
"41","Kevin Hong \’15","kevin-hong-15"
"42","Faye Zhang '17","faye-zhang-17"
"43","Colton Valentine ’16","colton-valentine-16"
"44","Jake Seaton, ’17","jake-seaton-17"
"45","Katherine Damm ’13","katherine-damm-13"
"46","Julian Lucas ’15","julian-lucas-15"
"47","Liza Batkin, ’15","liza-batkin-15"
"48","Finbarr O’Reill","finbarr-oreill"
"49","Victoria Baena \’14","victoria-baena-14"
"50","Kevin Hong ’15","kevin-hong-15"
"51","Colton Valentine \’16","colton-valentine-16"
"52","Wendy Chen.
picture courtesy of http://www.rogerandfrances.com","wendy-chen-picture-courtesy-of-http-www-rogerandfrances-com"
"53","Erik Fredericksen ’12","erik-fredericksen-12"
"54","Stephanie Newman ’13","stephanie-newman-13"
"55","Indiana Seresin, ’15 ","indiana-seresin-15"
"56","Isaac Dayno ’15","isaac-dayno-15"
"57","Maia Silber ’17","maia-silber-17"
"58","Stephanie Newman \’13","stephanie-newman-13"
"59","Krithika Varagur ’15","krithika-varagur-15"
"60","Kiara Barrow ’16","kiara-barrow-16"
"61","Wanjiku Mungai ’14","wanjiku-mungai-14"
"62","Molly Dektar \’12","molly-dektar-12"
"63","Matthew Krane ’15 ","matthew-krane-15"
"64","Hana Bajramovic \’13","hana-bajramovic-13"
"65","Ezra Stoller ’15 and Edwin Whitman ’15","ezra-stoller-15-and-edwin-whitman-15"
"66","Kevin Stone ’13","kevin-stone-13"
"67","Julian Lucas '15","julian-lucas-15"
"68","Jeannie Sui Wonders ’15","jeannie-sui-wonders-15"
"69","Noah Pisner ’14","noah-pisner-14"
"70","Noah Pisner \’14","noah-pisner-14"
"71","Sarah Rosenthal \’15","sarah-rosenthal-15"
"72","Julian Gewirtz \’13","julian-gewirtz-13"
"73","Rumur Dowling ’14","rumur-dowling-14"
"74","Krithika Varagur ‘15","krithika-varagur-15"
"75","Warner James Wood \’14","warner-james-wood-14"
"76","Keoni Correa ’13","keoni-correa-13"
"77","Sam Reynolds ’16","sam-reynolds-16"
"78","Faye Zhang, ’17","faye-zhang-17"
"79","Reina Gattuso \’15","reina-gattuso-15"
